Description,Category
Personal,Directors Loan Accounts (Director 1)
Bank Transfer from 1200-Verbal Solutions Ltd to credit cards,credit cards
Bank Transfer from 1200-Verbal Solutions Ltd to credit cards,1200-Verbal Solutions Ltd
ionos,"Computers & Software, 2202 - VAT"
WIMBLEDON,"Rent, 2202 - VAT"
Dropbox,Computers & Software
Payment: HPE c/o GMR marketing,Accounts Receivable
Exchange difference,Exchange Rate Variance
David Coul,Bank Charges
Payment: Dylan Reeves-Fellows,Creditors Control Account
Payment: UBS Business Solutions AG,Accounts Receivable
Payment: frobiz ltd,Creditors Control Account
HP Instant Ink,"Office Stationery, 2202 - VAT"
Payment: frobiz ltd,Creditors Control Account
Payment: SC Services,Creditors Control Account
Payment: dale edwards,Creditors Control Account
Payment: David Coulthard,Creditors Control Account
Payment: Matt Zarb,Creditors Control Account
Payment: Sage,Creditors Control Account
vodafone,"Telephone and Fax, 2202 - VAT"
Payment: Cameron Anderson,Creditors Control Account
Payment: Alex Jacobs,Creditors Control Account
Payment: Garry Mannion,Creditors Control Account
Shell,Vehicle Fuel
Payment: dale edwards,Creditors Control Account
Payment: daniel robert leigh,Creditors Control Account
Payment: Apple Retail UK,Creditors Control Account
Payment: Adobe Systems Software,Creditors Control Account
Shell,Vehicle Fuel
Halfords,Materials Purchased
Payment: David Fabbro Smith,Creditors Control Account
esso,Vehicle Fuel
SMC Detailing,Travelling
MOXY THE HAGU,Hotels
British Airways,Overseas Travelling
LEEUWENHOR EINDHOVEN,Overseas Travelling
HOLLYHILL,Subscriptions
Flight Centre,Flights
LEEUWENHOR EINDHOVEN,Overseas Travelling
esso,Vehicle Fuel
MAIDSTONE SERVICE,Travelling
DUO MILAN,Hotels
directors,Directors Loan Accounts (Director 1)
TELEGRAPHM,Subscriptions
LEITH HILL SERVICE,Vehicle Fuel
Absolute Taste,Entertainment
Flight Centre,Overseas Travelling
Bank Transfer from 1200-Verbal Solutions Ltd to credit cards,credit cards
Bank Transfer from 1200-Verbal Solutions Ltd to credit cards,1200-Verbal Solutions Ltd
Dart charge,Travelling
Absolute Taste,Subsistence
Payment: Recharge Cafe,Creditors Control Account
Payment: Ties Online,Creditors Control Account
Payment: Mercedes Benz,Creditors Control Account
VANWONDERENSTROOP,Overseas Entertainment
Payment: LEE J PRODUCTIONS,Creditors Control Account
Nicola Dines,Net Wages
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Square Bubble,Creditors Control Account
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Nicola Dines,Net Wages
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Williams Grand Prix Engineering Ltd,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Flight Centre,Flights
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Personal,Directors Loan Accounts (Director 1)
MOTIONARRA,Subscriptions
DUO MILAN,Overseas Travelling
Payment: Toni & Guy,Creditors Control Account
Zoom Video Communications Inc,Subscriptions
INTEREST CHARGE,Directors Loan Accounts (Director 1)
JMEXECUTIV,Travelling
Starbucks,Subsistence
Payment: Nova Bussing,Creditors Control Account
Interest Received,Bank Interest Received
Payment: Mercedes Benz,Accounts Receivable
Bank Transfer from 1200-Verbal Solutions Ltd to credit cards,credit cards
Bank Transfer from 1200-Verbal Solutions Ltd to credit cards,1200-Verbal Solutions Ltd
Payment: Amazon,Creditors Control Account
TRAVELODGE HOTELS LTD,Hotels
TRAVELODGE HOTELS LTD,Hotels
Flight Centre,Flights
Absolute Taste,Subsistence
British Airways,Overseas Travelling
Commission,Bank Charges
Absolute Taste,Subsistence
Payment: Crowd Strike Inc,Accounts Receivable
Payment: Sarah Louise Hill,Creditors Control Account
Exchange difference,Exchange Rate Variance
Absolute Taste,Subsistence
Absolute Taste,Subsistence
Shell,Vehicle Fuel
Nest,Pension Fund
Payment: Zoom Video Communications Inc,Creditors Control Account
Booking.com,Flights
Flight Centre,Flights
David Coul,Bank Charges
Payment: Rachael Lynette Penrose,Creditors Control Account
Exchange difference,Exchange Rate Variance
HOTELSCOM,Hotels
Payment: Luke Maskell,Creditors Control Account
HOTELSCOM,Hotels
Payment: David Coulthard,Creditors Control Account
Payment: Dylan Reeves-Fellows,Creditors Control Account
Payment: Sopher & Co,Creditors Control Account
Payment: frobiz ltd,Creditors Control Account
HOTELSCOM,Hotels
US CUSTOMS ESTA,Legal Fees
Goodwood,Travelling
SOCKCO,Directors Loan Accounts (Director 1)
HP Instant Ink,"Office Stationery, 2202 - VAT"
Payment: Jodi Hutton,Creditors Control Account
Payment: dale edwards,Creditors Control Account
Bank Transfer from 1200-Verbal Solutions Ltd to credit cards,credit cards
Bank Transfer from 1200-Verbal Solutions Ltd to credit cards,1200-Verbal Solutions Ltd
Payment: Matt Zarb,Creditors Control Account
Payment: Justin Hazell,Creditors Control Account
Payment: David Fabbro Smith,Creditors Control Account
Payment: Garry Mannion,Creditors Control Account
Payment: Simon Donohue,Creditors Control Account
Payment: Simon Donohue,Creditors Control Account
Payment: Adobe Systems Software,Creditors Control Account
EMPLOYEES ONLY,Entertainment
HOLLYHILL,Subscriptions
EMPLOYEES ONLY,Entertainment
ionos,"Computers & Software, 2202 - VAT"
STAR (BAGAWAN),Entertainment
MANDARIN ORIENTAL SGP,Hotels
Payment: Dropbox,Creditors Control Account
JW MARRIOTT HOTEL,Hotels
JW MARRIOTT HOTEL,Hotels
WIMBLEDON,"Rent, 2202 - VAT"
Conrad Centennial Singapore,Hotels
JW MARRIOTT HOTEL,Hotels
JW MARRIOTT HOTEL,Hotels
QUAICH SINGAPORE,Entertainment
JW MARRIOTT HOTEL,Hotels
JW MARRIOTT HOTEL,Hotels
JW MARRIOTT HOTEL,Hotels
Morton's Of Chicago,Entertainment
Starbucks,Subsistence
Payment: Sage,Creditors Control Account
MANDARIN ORIENTAL SGP,Hotels
Flight Centre,Overseas Travelling
MCDONALD,Subsistence
Conrad Centennial Singapore,Hotels
QUAICH SINGAPORE,Entertainment
JW MARRIOTT HOTEL,Hotels
vodafone,"Telephone and Fax, 2202 - VAT"
E-GADGET EXTRA SINGAPORE,Directors Loan Accounts (Director 1)
Payment: Adobe Systems Software,Creditors Control Account
Morton's Of Chicago,Overseas Entertainment
JW MARRIOTT HOTEL,Hotels
DISCOVER SINGAPORE,Overseas Travelling
caffe nero,Subsistence
Exchange difference,Exchange Rate Variance
Payment: Crowd Strike Inc,Accounts Receivable
Apple,"Office Equipment Additions, 2202 - VAT"
Personal,Directors Loan Accounts (Director 1)
SMC Detailing,Travelling
HOLLYHILL,Subscriptions
APPLE.COM/BILL,Subscriptions
Flight Centre,Overseas Travelling
Flight Centre,Overseas Travelling
Payment: Ridge Farm,Creditors Control Account
MARRIOTT HOTEL,Hotels
TELEGRAPHME,Subscriptions
Flight Centre,Overseas Travelling
Bank Transfer from 1200-Verbal Solutions Ltd to Platinum Amex,#N/A
Bank Transfer from 1200-Verbal Solutions Ltd to Platinum Amex,1200-Verbal Solutions Ltd
Nicola Dines,Net Wages
Flight Centre,Overseas Travelling
Nicola Dines,Net Wages
Flight Centre,Overseas Travelling
Motion Array,Subscriptions
PATREONMEMBER,Subscriptions
Flight Centre,Overseas Travelling
Liberty retail,Directors Loan Accounts (Director 1)
AVIS CENTRAL,Car Hire & Taxis
Airbnb,Hotels
Payment: Air bnb,Creditors Control Account
Liberty retail,Directors Loan Accounts (Director 1)
Payment: Zoom Video Communications Inc,Creditors Control Account
Payment: Sopher & Co,Creditors Control Account
IM SOFTWARE LTD,Computers & Software
Payment: LEE J PRODUCTIONS,Creditors Control Account
Payment: Wired2Fire,Creditors Control Account
Barclays,Exchange Rate Variance
Payment: Abu Dhabi Golf Club,Creditors Control Account
Parking,Travelling
Bank Charges,Bank Charges
HODINKEEMAG,Books
Crows Nest Hotel,Pension Fund
Welcome Break,Subsistence
Flight Centre,Overseas Travelling
Payment: Wired2Fire,Creditors Control Account
Payment: Wine Unlimited,Creditors Control Account
Payment: Zoom Video Communications Inc,Creditors Control Account
Payment: Rachael Lynette Penrose,Creditors Control Account
Payment: dale edwards,Creditors Control Account
Payment: Dylan Reeves-Fellows,Creditors Control Account
Payment: daniel robert leigh,Creditors Control Account
Payment: J P Sherwood,Creditors Control Account
Payment: Garry Mannion,Creditors Control Account
Payment: Simon Donohue,Creditors Control Account
esso,Vehicle Fuel
Payment: Jodi Hutton,Creditors Control Account
Payment: Cameron Anderson,Creditors Control Account
Payment: Alex Jacobs,Creditors Control Account
Sarah Louise Hill,Sub-Contractors
Payment: Rachael Lynette Penrose,Creditors Control Account
Payment: Alex Grant,Creditors Control Account
Flight Centre,Overseas Travelling
Payment: dale edwards,Creditors Control Account
londonsockco,Directors Loan Accounts (Director 1)
Payment: Toni & Guy,Creditors Control Account
Payment: Adobe Systems Software,Creditors Control Account
Flight Centre,Overseas Travelling
Payment: Wagamama,Creditors Control Account
Payment: HP Instant Ink,Creditors Control Account
BT GROUP PLC,"Telephone and Fax, 2202 - VAT"
Booking.com,Travelling
HGI SILVERSTONE,Hotels
BRACKLEYS SERVICE STAT,Vehicle Fuel
Parking,Travelling
Personal,Directors Loan Accounts (Director 1)
JUSTPARK,Travelling
IONOS LTD,"Computers & Software, 2202 - VAT"
Payment: Fenwick,Creditors Control Account
JUSTPARK,Travelling
Payment: Apple,Creditors Control Account
JUSTPARK,Travelling
Bank Transfer from 1200-Verbal Solutions Ltd to Platinum Amex,#N/A
Bank Transfer from 1200-Verbal Solutions Ltd to Platinum Amex,1200-Verbal Solutions Ltd
APPLE.COM/BILL,Subscriptions
British Airways,Overseas Travelling
British Airways,Overseas Travelling
AMZNMKTPLACE,Office Supplies
JUSTPARK,Travelling
JUSTPARK,Travelling
Wimbledon Village,"Rent, 2202 - VAT"
Payment: Papier,Creditors Control Account
Balfe's BikesLondon,"Plant And Mach addition, 2202 - VAT"
AMAZON.CO.UK,"Office Stationery, 2202 - VAT"
Payment: Toni & Guy,Creditors Control Account
HMRC,P.A.Y.E.
Shell,Vehicle Fuel
HMRC,P.A.Y.E.
Antonia James Grey,Sub-Contractors
DROPBOXINTE,Computers & Software
Payment: Rob Thornton,Creditors Control Account
Payment: Matt Zarb,Creditors Control Account
Payment: Rafferty Newman,Creditors Control Account
Payment: dale edwards,Creditors Control Account
Bank Charges,Bank Charges
Payment: Jodi Hutton,Creditors Control Account
Payment: David Coulthard,Creditors Control Account
Payment: Oliver Pittam,Creditors Control Account
Apple Distribution International,"Office Equipment Additions, 2202 - VAT"
BA INFLIGHT SALES,Travelling
TRUCK YARD DALLAS,Overseas Entertainment
Flight Centre,Overseas Travelling
TRUCK YARD DALLAS,Overseas Entertainment
TRUCK YARD DALLAS,Overseas Entertainment
HMRC PAYE,P.A.Y.E.
Parking,Travelling
Payment: HG Sply Co,Creditors Control Account
Amex,Exchange Rate Variance
Payment: Sage,Creditors Control Account
Buc-ee's,Overseas Travelling
Vodaphone,"Telephone and Fax, 2202 - VAT"
Payment: Harbottle & Lewis,Creditors Control Account
"85 RAINEY STREET,",Overseas Travelling
Payment: Adobe Systems Software,Creditors Control Account
"85 RAINEY STREET,",Overseas Travelling
Amex,Exchange Rate Variance
Payment: Holafly,Creditors Control Account
WESTIN AUSTIN DOWNTOWN,Hotels
Samsung,"Office Equipment Additions, 2202 - VAT"
Torchys Tacos,Subsistence
WESTIN AUSTIN DOWNTOWN,Hotels
WESTIN AUSTIN DOWNTOWN,Hotels
FOXYS,Overseas Entertainment
WESTIN AUSTIN DOWNTOWN,Hotels
RAZERSTORE VEGAS,Overseas Entertainment
SHINER'S SALOON,Clothing Costs
SMITTYS MARKET,Overseas Entertainment
Payment: Blacks Barbe,Creditors Control Account
Payment: Kreuz Market,Creditors Control Account
British Airways,Travelling
CIRCLE K,Subsistence
Amex,Exchange Rate Variance
APPLE.COM/BILL,Subscriptions
Amex,Exchange Rate Variance
Payment: Kreuz Market,Creditors Control Account
Payment: Luke Maskell,Creditors Control Account
BLIND PIG PUB,Overseas Entertainment
APPLE.COM/BILL,Subscriptions
Payment: Hopdoddy Burger Bar,Creditors Control Account
Amex,Exchange Rate Variance
Payment: Hopdoddy Burger Bar,Creditors Control Account
Payment: HPE c/o GMR marketing,Accounts Receivable
Payment: Hopdoddy Burger Bar,Creditors Control Account
WHITE HORSE,Overseas Entertainment
Bank Charges,Bank Charges
Payment: David Coulthard,Creditors Control Account
Payment: Revelry Kitchen And Bar,Creditors Control Account
BLIND PIG PUB,Overseas Entertainment
Payment: Unknown Supplier,Creditors Control Account
Buc-ee's,Overseas Travelling
Avis Rent A Car,Car Hire & Taxis
WESTIN AUSTIN DOWNTOWN,Hotels
Starbucks,Subsistence
Buc-ee's,Overseas Travelling
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Uber - New York,Overseas Travelling
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
caffe nero,Subsistence
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Uber - New York,Overseas Travelling
Payment: SMC Detailing,Creditors Control Account
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Rush Sports Marketing Ltd,Accounts Receivable
Personal,Directors Loan Accounts (Director 1)
Payment: Car Park,Creditors Control Account
Flight Centre,Overseas Travelling
TELEGRAPHME,Subscriptions
Nicola Dines,Net Wages
Payment: UBS Business Solutions AG,Accounts Receivable
Bank Transfer from 1200-Verbal Solutions Ltd to Black Amex,#N/A
Bank Transfer from 1200-Verbal Solutions Ltd to Black Amex,1200-Verbal Solutions Ltd
Payment: David Fabbro Smith,Creditors Control Account
Payment: UBS Business Solutions AG,Accounts Receivable
J W G HAZELL,Sub-Contractors
Nicola Dines,Net Wages
HMRC,P.A.Y.E.
Personal,Directors Loan Accounts (Director 1)
Payment: Williams Grand Prix Engineering Ltd,Accounts Receivable
THE DAILY WIRE,Subscriptions
Payment: Williams Grand Prix Engineering Ltd,Accounts Receivable
Personal,Directors Loan Accounts (Director 1)
Lee Johnson.,"Sub-Contractors, 2202 - VAT"
ADRIAN FLUX,Insurance
Motion Array,Subscriptions
AUTOSPORT,Books
Motion Array,Travelling
Booking.com,Travelling
Motion Array,Travelling
Shell,Vehicle Fuel
Payment: Zoom Video Communications Inc,Creditors Control Account
CLEVERBRIDGE,Computers & Software
Crowd Strike Inc,Exchange Rate Variance
Payment: Crowd Strike Inc,Accounts Receivable
Payment: Crowd Strike Inc,Accounts Receivable
Payment: UBS Business Solutions AG,Accounts Receivable
Bank Charges,Bank Charges
Payment: Crowd Strike Inc,Accounts Receivable
Payment: Personalised Fun Money,Creditors Control Account
Payment: Zoom Video Communications Inc,Creditors Control Account
OSTERIA ROMANA,Entertainment
Payment: Mercedes Benz,Creditors Control Account
OSTERIA ROMANA,Entertainment
Payment: Adobe Systems Software,Creditors Control Account
londonsockco,Directors Loan Accounts (Director 1)
TOPGOLF,Overseas Entertainment
Payment: Toni & Guy,Creditors Control Account
HP Instant Ink,"Office Stationery, 2202 - VAT"
HMRC,VAT
Bank Transfer from 1200-Verbal Solutions Ltd to Platinum Amex,#N/A
Bank Transfer from 1200-Verbal Solutions Ltd to Platinum Amex,1200-Verbal Solutions Ltd
APPLE.COM/BILL,Subscriptions
IONOS LTD,"Computers & Software, 2202 - VAT"
Microsoft,Computers & Software
Payment: Cameron Anderson,Creditors Control Account
Payment: David Broido,Creditors Control Account
Payment: Rachael Lynette Penrose,Creditors Control Account
Parking,Travelling
Payment: Miles Yekinni,Creditors Control Account
Payment: Jodi Hutton,Creditors Control Account
Payment: daniel robert leigh,Creditors Control Account
Payment: dale edwards,Creditors Control Account
ONLINE TRANSPORT,Overseas Travelling
Santa Monica Brew,Overseas Travelling
BT GROUP PLC,"Telephone and Fax, 2202 - VAT"
Payment: Matt Zarb,Creditors Control Account
Payment: Garry Mannion,Creditors Control Account
Payment: dale edwards,Creditors Control Account
J W G HAZELL,Sub-Contractors
Payment: Antonia James Grey,Creditors Control Account
Payment: Garry Mannion,Creditors Control Account
Dylan Reeves-Fellows,Sub-Contractors
LINDBERGH,Clothing Costs
American Airlines,Exchange Rate Variance
Bellagio,Overseas Entertainment
Personal,Directors Loan Accounts (Director 1)
Wimbledon Village,"Rent, 2202 - VAT"
Payment: Ridge Farm,Creditors Control Account
DROPBOXINTE,Computers & Software
Payment: Panasonic,Creditors Control Account
CAESARS SPANISH STEP BAR,Overseas Entertainment
LINDBERGH,Clothing Costs
TOPGOLF,Overseas Entertainment
Pharmacy,Directors Loan Accounts (Director 1)
Payment: envision racing limited,Accounts Receivable
CHRISTIAN LOUBOUTIN,Clothing Costs
TOPGOLF,Overseas Entertainment
PF CHANGS,Overseas Entertainment
FC DI FARA'S PIZZA,Overseas Entertainment
Payment: FedEx Office,Creditors Control Account
Payment: Sage,Creditors Control Account
Reconciliation adjustment,Rounding
Bellagio,Overseas Entertainment
Vodaphone,"Telephone and Fax, 2202 - VAT"
British Airways,Overseas Travelling
British Airways,Overseas Travelling
British Airways,Overseas Travelling
STARTING GATE,Overseas Entertainment
HUDSONNEWS,Research Materials
Amex,Exchange Rate Variance
STARTING GATE,Overseas Entertainment
Amex,Exchange Rate Variance
Bellagio,Hotels
Payment: Burger King,Creditors Control Account
Payment: Bellagio,Creditors Control Account
Payment: Mercedes Benz,Accounts Receivable
Payment: Adobe Systems Software,Creditors Control Account
HOTELSCOM,Hotels
Bellagio,Hotels
Payment: SMC Detailing,Creditors Control Account
The St. Regis Saadiyat Island Resort,Hotels
RESTAURANT,Overseas Entertainment
Barclays,Exchange Rate Variance
Payment: Abu Dhabi Golf Club,Creditors Control Account
CHELSEA MAG CO LTD,Subscriptions
AWG AMBASSADOR,Overseas Travelling
Abu Dhabi Golf Club,Overseas Entertainment
Payment: Harbottle & Lewis,Creditors Control Account
Payment: Park Hyatt Abu Dhabi Hotel And Villas,Creditors Control Account
Payment: CSM Sport and Entertainment Middle East,Accounts Receivable
APPLE.COM/BILL,Subscriptions
Abu Dhabi Golf Club,Overseas Entertainment
Sons,Clothing Costs
Abu Dhabi Golf Club,Overseas Entertainment
Abu Dhabi Golf Club,Overseas Entertainment
ABU DHABI GOLF,Overseas Entertainment
ABU DHABI GOLF,Overseas Entertainment
Personal,Directors Loan Accounts (Director 1)
Payment: Mercedes Benz,Accounts Receivable
THE WESTIN AUH GOLF,Overseas Entertainment
Park Hyatt Dubai,Hotels
Park Hyatt Dubai,Hotels
THE WESTIN AUH GOLF,Overseas Entertainment
Payment: Uber,Creditors Control Account
Barclays,Exchange Rate Variance
Payment: Uber,Creditors Control Account
Bank Transfer from 1200-Verbal Solutions Ltd to Black Amex,#N/A
Bank Transfer from 1200-Verbal Solutions Ltd to Black Amex,1200-Verbal Solutions Ltd
TELEGRAPHME,Subscriptions
Park Hyatt Dubai,Hotels
Payment: Park Hyatt Dubai,Creditors Control Account
MR ANDREW COLEY,Overseas Travelling
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
HMRC,P.A.Y.E.
Payment: Williams Grand Prix Engineering Ltd,Accounts Receivable
British Airways,Overseas Travelling
Payment: Williams Grand Prix Engineering Ltd,Accounts Receivable
Payment: Williams Grand Prix Engineering Ltd,Accounts Receivable
Nicola Dines,Net Wages
Nicola Dines,Net Wages
Payment: Williams Grand Prix Engineering Ltd,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Williams Grand Prix Engineering Ltd,Accounts Receivable
Payment: Williams Grand Prix Engineering Ltd,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Williams Grand Prix Engineering Ltd,Accounts Receivable
THE DAILY WIRE,Research Materials
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Mercedes-Benz Grand Prix Limited,Accounts Receivable
Payment: Optimalprint,Creditors Control Account
Payment: hotel chocolat,Creditors Control Account
Motion Array,Subscriptions
Payment: Simon Donohue,Creditors Control Account
Harrods,Directors Loan Accounts (Director 1)
Harrods,Directors Loan Accounts (Director 1)
British Airways,Overseas Travelling
Post Office,Postage and Carriage
Payment: Zoom Video Communications Inc,Creditors Control Account
Payment: Nespresso,Creditors Control Account
Parking,Travelling
Bank Charges,Bank Charges
FORTNUMANDMASON.COM,Office Supplies
Payment: LEE J PRODUCTIONS,Creditors Control Account
Payment: Fortnum & Mason,Creditors Control Account
Payment: Sarah Louise Hill,Creditors Control Account
Payment: J P Sherwood,Creditors Control Account
Payment: Rachael Lynette Penrose,Creditors Control Account
Payment: Miles Yekinni,Creditors Control Account
Payment: Gov.Uk,Creditors Control Account
Payment: OLIVIA MARK,Creditors Control Account
Nest Pension,Pension Fund
Payment: Zoom Video Communications Inc,Creditors Control Account
Payment: Crunch Communications Ltd,Accounts Receivable
Payment: Kokoro Dorking,Creditors Control Account
Personal,Directors Loan Accounts (Director 1)
British Airways,Overseas Travelling
HP Instant Ink,"Office Stationery, 2202 - VAT"
londonsockco,Directors Loan Accounts (Director 1)
Flight Centre,Overseas Travelling
Flight Centre,Overseas Travelling
Flight Centre,Overseas Travelling
Payment: Luke Maskell,Creditors Control Account
Flight Centre,Overseas Travelling
Payment: Mercedes Benz,Accounts Receivable
Flight Centre,Overseas Travelling
Flight Centre,Overseas Travelling
Payment: Adobe Systems Software,Creditors Control Account
BT GROUP PLC,"Telephone and Fax, 2202 - VAT"
Flight Centre,Overseas Travelling
Flight Centre,Flights
IONOS LTD,"Computers & Software, 2202 - VAT"
Flight Centre,Flights
Bank Transfer from 1200-Verbal Solutions Ltd to Platinum Amex,#N/A
Bank Transfer from 1200-Verbal Solutions Ltd to Platinum Amex,1200-Verbal Solutions Ltd
Flight Centre,Flights
Flight Centre,Overseas Travelling
