Description,Category
Groceries,Food / Groceries
Help.For.Stray,Charitable and Political Donations: Help.for stray
FUENTE JARA S.L.,Property Expenses - Spain
St Barnabas Hospic,Charitable and Political Donations: St Barnabas Hospic
Ivahok,Charitable and Political Donations: Ivahok
Dnvsaveanimals,Charitable and Political Donations: Dnvsaveanimals
Butternut Box,Animal care / Pet expenses
Hillside animal sanctuary,Charitable and Political Donations: Hillsideani
Airlines,Travel - International
asdzxx123asdm,Charitable & Political Donations: asdzxx123asdm
Battersea Dogs,Charitable and Political Donations: Battersea Dogs
BRICOCENTRO,Food / Groceries
Hotels,Travel - International
Amnesty Int Uk,Charitable and Political Donations: Amnesty Int Uk
MUSEE ARABE DE LA PARURE,Art
Janaa,Charitable and Political Donations: Janaa
Groceries,Food / Groceries
BRICOCENTRO,Food / Groceries
Unknown,Bank Fees
Groceries,Food / Groceries
Netflix.Com,Subscriptions
Apple,Shopping
MUSEE ARABE DE LA PARURE,Entertainment
ATM - Cash Withdrawals,Cash ATM Transactions
Apple,Subscriptions
MERCK & CO INC,Coupon Credits from JB
FEDEX CORP,Coupon Credits from JB
MUSEE ARABE DE LA PARURE,Entertainment
Bank Transfer from Julius Baer EUR 81401 to Sabadell A/C,Sabadell A/C - EUR
Bank Transfer from Julius Baer EUR 81401 to Sabadell A/C,JB - EUR 81401 - Adela
Sky Mobile,Telephone & Internet
Co-op Group,Food / Groceries
CEPSA,Travel - International
Dick Lovett,Motor Vehicle Expenses
Leal Fernandez Angel,Repairs & Maintenance - Spain
Commission Fee,Bank Fees
Change.org,Charitable and Political Donations: Change.org
Unknown,J. Parsons
Vesna Dragojlov,Charitable and Political Donations: Vesna
Hotels,Travel - International
Amnesty.Org.uk,Charitable and Political Donations: Amnesty Int Uk
Tresors El Mamoun,Shopping
Regina,charitable and political Donations: Regina
Cedipsa,Travel - International
Groceries,Food / Groceries
RSPB,Charitable and Political Donations: RSPB
Debans,Charitable & Political Donations: DEBANS
bank charge,Bank Fees
Outfox The Market,"Light, Power, Heating - UK"
Taxi,Travel - International
Uk For Unhcr,Charitable and Political Donations: UK for Unhcr
Helpanimals,Charitable and Political Donations: Helpanimals
Bank Transfer from Julius Baer USD 33301 - Adela to Julius Baer EUR 81401 - Adela,JB - EUR 81401 - Adela
Bank Transfer from Julius Baer USD 33301 - Adela to Julius Baer EUR 81401 - Adela,JB - USD 2120.333.01 - Adela
Shopping,Shopping
Mr. Julian O Sarso,Julian O Sa
Shopping,Shopping
Change.org,Charitable and Political Donations: Change.org
Change.org,Charitable and Political Donations: Change.org
Etsy,Shopping
Cedipsa,Travel - International
India Royal,Entertainment
asdzxx123asdm,Charitable & Political Donations: asdzxx123asdm
Reach out for,Charitable and Political Donations: Reach
Ifaw.org,Charitable and Political Donations: Ifaw.org
Etsy,Shopping
"Post, Card 26",Cash ATM Transactions
Animalweb,Charitable and Political Donations: Animalweb
Taxi,Travel - International
Paypal *Rex,Charitable and Political Donations: REX
Yourpetnutrition,Animal care / Pet expenses
PetLab Co,Animal care / Pet expenses
Airlines,Travel - International
"Post, Card 26",Cash ATM Transactions
SERVICIO Service Stations,Travel - International
Vesna Dragojlov,Charitable and Political Donations: Vesna
Startyourlife,Personal care/ Cosmetic
Restaurants,Entertainment
Unknown,Unknown transactions
Arundel Bridge Antique,Shopping
Taxi,Travel - International
Pallant of Arundel,Food / Groceries
Gaskyns,Food / Groceries
Debans,Charitable & Political Donations: DEBANS
AUTOFUSION EIVISSA,Motor Vehicle Expenses
Shopping,Shopping
Etsy,Shopping
Paypal Donation,Charitable and Political Donations: Paypal Donation
Fetcher Dog,Charitable and Political Donations: Fetcher Dog
Taxi,Travel - International
"Post, Card 26",Cash ATM Transactions
Helpanimals,Charitable and Political Donations: Helpanimals
Gaskyns,Food / Groceries
Vesna Dragojlov,Charitable and Political Donations: Vesna
Co-op Group,Food / Groceries
Debans,Charitable & Political Donations: DEBANS
Etsy,Shopping
Shopping,Shopping
Restaurants,Entertainment
Selwayfamil,Unknown transactions
Change.org,Charitable and Political Donations: Change.org
Groceries,Food / Groceries
LEAGUEAGAINS,Charitable and Political Donations: League Against
Sandrazecev So,Personal care/ Cosmetic
Co-op Group,Food / Groceries
Revolve UK,Shopping
Vesna Dragojlov,Charitable and Political Donations: Vesna
wwf lottery,Charitable and Political Donations
Helpanimals 19,Charitable and Political Donations: Helpanimals
Trainline,Travel - National
Lou Jordan Fine Art,Shopping
Johnsons Enterprises L,Shopping
Groceries,Food / Groceries
Rokvicgordana,Rokvicgordana
Pallant of Arundel,Food / Groceries
Debans,Charitable & Political Donations: DEBANS
Animalweb,Charitable and Political Donations: Animalweb
Pharmacy,Personal care/ Cosmetic
Dalialovesdogg,Charitable and Political Donations: Dalialovesdog
Bazar Estrella,Shopping
Clic Sgent Dd&So,Charitable and Political Donations: CLIC Sargent Cancer Care
JUNIPER Arundel,Food / Groceries
Four paws UK,Charitable and Political Donations: Four paws UK
Cedipsa,Travel - International
Commission Fee,Bank Fees
Debans,Charitable & Political Donations: DEBANS
Groceries,Food / Groceries
Commission Fee,Bank Fees
Helpanimals,Charitable and Political Donations: Helpanimals
Veterinary Services,Animal care / Pet expenses
Restaurants,Entertainment
RSPCA,Charitable and Political Donations: RSPCA
DEF6QI008X,Unknown transactions
Sn Amberley Sst,Travel - National
itsu,Food / Groceries
Creo Clinic,Personal care/ Cosmetic
Restaurants,Entertainment
Commission Fee,Bank Fees
ALGEBRIS UCITS FUNDS PLC,Coupon Credits from JB
asdzxx123asdm,Charitable & Political Donations: asdzxx123asdm
Shopping,Shopping
Commission Fee,Bank Fees
Taxi,Travel - International
LO QUE QUIERAS SHOP H2 Ibiza,Personal care/ Cosmetic
PROLOGIS LP,Coupon Credits from JB
Sn Amberley Sst,Travel - National
Cedipsa,Travel - International
PREMIUM SELECTION,Coupon Credits from JB
Commission Fee,Bank Fees
MERCA 100 HOME PORTINATX ESP,Personal care/ Cosmetic
THERMO FISHER SCIENTIFIC INC,Coupon Credits from JB
Omaze,Charitable and Political Donations: OMAZE - Not Gift Aidable
Amazon,Shopping
Trainline,Travel - National
OK MOBILITY IBIZA,Travel - International
Unknown,Charitable and Political Donations: Ifaw.org
Federico Ismael Recayte Jara,Property Expenses - Spain
Commission Fee,Bank Fees
Shopping,Shopping
Omaze,Charitable and Political Donations: OMAZE - Not Gift Aidable
PARKING ES PRATET EIVISSA ESP,Travel - International
Watsons General Telegraph London,Entertainment
IBIZA PALMA DE MALLESP,Telephone & Internet
AENA IBIZA PARKING,Travel - International
Commission Fee,Bank Fees
Groceries,Food / Groceries
TUMI Store London,Shopping
Sp Symprove Uk,Personal care/ Cosmetic
Cotswold RAW,Animal care / Pet expenses
Trainline,Travel - National
Restaurants,Entertainment
Lyma,Personal care/ Cosmetic
Apple,Subscriptions
Airlines,Travel - International
Co-op Group,Food / Groceries
Shopping,Shopping
Commission Fee,Bank Fees
FARMACIA - Spain,Personal care/ Cosmetic
Trainline,Travel - National
Restaurants,Entertainment
Etsy,Shopping
Humanesocie,Charitable and Political Donations: Humane Society International - Gift Aidable
bank charge,Bank Fees
Raffleplayer,Charitable and Political Donations
Superdrug,Shopping
SOUTHERN RAILWAY,Travel - National
Sandrazecev,Personal care/ Cosmetic
Vesna Dragojlov,Charitable and Political Donations: Vesna
Debans,Charitable & Political Donations: DEBANS
Michael White,Unknown transactions
Sam Debuse,Samuel Debuse
Commission Fee,Bank Fees
Rokvicgordana,Rokvicgordana
Leon,Food / Groceries
Zara,Shopping
Lookfantastic.Com,Shopping
Helpanimals,Charitable and Political Donations: Helpanimals
M&S,Shopping
ISHARES IV PLC,JB Investment account
TFL,Travel - National
French Cafe Bistrot,Food / Groceries
TFL,Travel - National
TFL,Travel - National
INTUIT INC,Coupon Credits from JB
Savers Health & Beauty,Shopping
Debans,Charitable & Political Donations: DEBANS
Vesna Dragojlov,Charitable and Political Donations: Vesna
Debans,Charitable & Political Donations: DEBANS
TFL,Travel - National
TFL,Travel - National
Rokvicgordana,Rokvicgordana
Helpanimals 19,Charitable and Political Donations: Helpanimals
Sandrazecev So,Personal care/ Cosmetic
ATM - Cash Withdrawals,Cash ATM Transactions
Co-op Group,Food / Groceries
antonimaes,Unknown transactions
Commission Fee,Bank Fees
OK MOBILITY IBIZA,Travel - International
Pallant of Arundel,Food / Groceries
Etsy,Shopping
Cold Tapes,Entertainment
TFL,Travel - National
"Post, Card 26",Cash ATM Transactions
Butternut Box,Animal care / Pet expenses
Hotels,Travel - National
Wires Wires,Shopping
Petrovictan,Charitable & Political Donations: Petrovictan
Lower Farm House,UK Property / Farm Expenses - LFH Main Home
Co-op Group,Food / Groceries
asdzxx123asdm,Charitable & Political Donations: asdzxx123asdm
Ebay,Shopping
Safe Haven For Donkeys,Charitable and Political Donations: Safe haven
Huel,Food / Groceries
Pallant of Arundel,Food / Groceries
Gaskyns,Food / Groceries
Steve Lewis,Steve Lewis
"Post, Card 26",Cash ATM Transactions
Anthropologie.Com,Shopping
Sam Debuse,Samuel Debuse
Pheonix Detailing,Pheonix Detailing - DLA
Help.For.Stray,Charitable and Political Donations: Help.for stray
Paypal *Rex,Charitable and Political Donations: REX
Lynnm,Charitable and Political Donations: Lynnm
Vesna Dragojlov,Charitable and Political Donations: Vesna
The Boathouse Arundel,Entertainment
Next Directory,Shopping
The Puddleduck Nursery,Childcare - Nursery/Schools (grandchildren)
Co-op Group,Food / Groceries
Spark Etail Limited,Shopping
Bank Transfer from Julius Baer USD 33301 to JB $ Top card credit 063,JB $ TopCard credit 063 - Adela
Bank Transfer from Julius Baer USD 33301 to JB $ Top card credit 063,JB - USD 2120.333.01 - Adela
Sam Debuse,Samuel Debuse
Pallant of Arundel,Food / Groceries
ELECTRICITY ENDESA ENERGIA,Property Expenses - Spain
Bank Transfer from Julius Baer GBP 40201 to Virgin Money - Joint - R&A,Virgin Money - GBP - Joint R&A
Bank Transfer from Julius Baer GBP 40201 to Virgin Money - Joint - R&A,JB - GBP 40201 - Adela
Unknown,Unknown transactions
Debans,Charitable & Political Donations: DEBANS
Fmb construction,Fmb Construction
Huel,Food / Groceries
London Taxi,Travel - National
Etsy,Shopping
Sn Amberley Sst,Travel - National
"Post, Card 26",Cash ATM Transactions
Amazon,Shopping
Grumpy Mule,Shopping
"Post, Card 26",Cash ATM Transactions
Apple,Subscriptions
Bank Transfer from Julius Baer USD 33301 - Adela to Julius Baer GBP 40201 - Adela,JB - GBP 40201 - Adela
Bank Transfer from Julius Baer USD 33301 - Adela to Julius Baer GBP 40201 - Adela,JB - USD 2120.333.01 - Adela
COMMISSION SECURITIES LENDING,Commission received
Restaurants,Entertainment
Stickland Pharmacy,Personal care/ Cosmetic
Unknown,Unknown transactions
Nestle,Coupon Credits from JB
Street Medical Practice,Personal care/ Cosmetic
Unity Communications Ltd,Subscriptions
Helpanimals,Charitable and Political Donations: Helpanimals
Moda Operandi,Shopping
Vesna Dragojlov,Charitable and Political Donations: Vesna
Water Aid,Charitable and Political Donations: Wateraid
Dare Djurovic,Charitable and Political Donations: Dared
Commission Fee,Bank Fees
Guide Dogs,Charitable and Political Donations: Guide Dogs
Veterinary Services,Animal care / Pet expenses
COUPON CREDIT EUR,Coupon Credits from JB
Boots,Personal care/ Cosmetic
Dalialovesdogg,Charitable and Political Donations: Dalialovesdog
Pheonix Detailing,Pheonix Detailing - DLA
Commission Fee,Bank Fees
Vesna Dragojlov,Charitable and Political Donations: Vesna
JUNIPER Arundel,Food / Groceries
Reach out for,Charitable and Political Donations: Reach
Co-op Group,Food / Groceries
ORACLE CORP,Coupon Credits from JB
Lynnm,Charitable and Political Donations: Lynnm
Change.org,Charitable and Political Donations: Change.org
helpforanimals,Charitable and Political Donations: helpforanimals
Sn Amberley Sst,Travel - National
Tesco Stores,Shopping
TFL,Travel - National
CISCO SYSTEMS INC,Coupon Credits from JB
Stickland Pharmacy,Personal care/ Cosmetic
Peta Donations,Charitable and Political Donations: Peta Donations
Purolabs,Personal care/ Cosmetic
Debans,Charitable & Political Donations: DEBANS
Apple,Subscriptions
Reach out for Ani,Charitable and Political Donations: Reach
Parking,Travel - National
Animalweb,Charitable and Political Donations: Animalweb
Blue Hair & Beauty Ltd,Personal care/ Cosmetic
"Post, Card 26",Cash ATM Transactions
Lynnm,Charitable and Political Donations: Lynnm
Next Directory,Shopping
Nfu Mutual Ins-Bc,Insurance
Help.For.Stray,Charitable and Political Donations: Help.for stray
Vesna Dragojlov,Charitable and Political Donations: Vesna
Apple,Subscriptions
asdzxx123asdm,Charitable & Political Donations: asdzxx123asdm
"Post, Card 26",Cash ATM Transactions
DORAGOMIKADO,Charitable and Political Donations: Doragomikado
Animalweb,Charitable and Political Donations: Animalweb
bank charge,Bank Fees
Sandrazecev So,Personal care/ Cosmetic
Hillside animal sanctuary,Charitable and Political Donations: Hillsideani
EVA DOWNEY,Eva Downey
Trainline,Travel - National
Labour Of Love,Personal care/ Cosmetic
Sam Debuse,Samuel Debuse
Cotswold RAW,Animal care / Pet expenses
Sam Debuse,Samuel Debuse
Groceries,Food / Groceries
Phoenix Aviation,Entertainment
Mytheresa Myth,Shopping
Commission Fee,Bank Fees
Compassion,Charitable and Political Donations: Compassion
Groceries,Food / Groceries
Certas Energy,"Light, Power, Heating - UK"
Lost & Found,Entertainment
JUNIPER Arundel,Food / Groceries
Debans,Charitable & Political Donations: DEBANS
Nfu Mutual Ins-Bc,Insurance
bank charge,Bank Fees
Spotify,Subscriptions
Snezana-Ci,Charitable and Political Donations: Snezana-Ci
poliivana,Poliivana
TFL,Travel - National
Commission Fee,Bank Fees
Pheonix Detailing,Pheonix Detailing - DLA
Amazon Prime,Subscriptions
"Post, Card 26",Cash ATM Transactions
DANAHER CORP,Coupon Credits from JB
Eva Grindley,UK Property / Farm Expenses - LFH Main Home
"Post, Card 26",Cash ATM Transactions
Moda Operandi,Shopping
JUNIPER Arundel,Food / Groceries
Amazon,Shopping
Creo Clinic,Personal care/ Cosmetic
Creo Health Ltd,Investments
"Post, Card 26",Cash ATM Transactions
Veterinary Services,Animal care / Pet expenses
asdzxx123asdm,Charitable & Political Donations: asdzxx123asdm
Animalweb,Charitable and Political Donations: Animalweb
Business insurance policied Sabadell,Insurance
Orangutan,Charitable and Political Donations: Orangutan
Tallarna Limited,Tallarna Limited - RD Salary
Change.org,Charitable and Political Donations: Change.org
interest,Interest Income
Apple,Subscriptions
Hope VMS Elaine's Dogs,Charitable and Political Donations: Hopeforanadone
Ssense.Com,Shopping
Hairstory,Personal care/ Cosmetic
ISHARES III PLC,Coupon Credits from JB
Barclays Mortgages,Mortgages Barclays
Goshcc,Charitable and Political Donations: Goshcc
Greenpeace Limited,Charitable and Political Donations: Greenpeace Ltd
Wood Green Animal,Charitable and Political Donations: Wood Green Animal
Four paws UK,Charitable and Political Donations: Four paws UK
Donkey Sanctuary,Charitable and Political Donations: Donkey Sanctuary
Dogs Trust,Charitable and Political Donations: Dogs Trust
Arun D.C.,Arun D.C.
The Brooke Hospital,Charitable and Political Donations: The Brooke Hospital
Sn Amberley Sst,Travel - National
Steve Lewis,Steve Lewis
BMW Financial Services,BMW Car - Motor vehicles
"Post, Card 26",Cash ATM Transactions
Sky Digital,Subscriptions
World Animal Protection,Charitable and Political Donations: World Animal Prote
Eia UK,Charitable and Political Donations: Eia UK
Amazon Prime,Subscriptions
Post Office,"Postage, Freight & Courier"
Soi Dog Foundation,Charitable and Political Donations: Soi Dog Foundation
Restaurants,Entertainment
SMC Re Unity,Charitable and Political Donations: SMC Re Unity
Fauna & Flora,Charitable and Political Donations: Fauna & Flora cambridge
Sightsavers,Charitable and Political Donations: Sightsavers
Superdrug,Shopping
Omaze - Not Gift Aid Registered,Charitable and Political Donations: OMAZE - Not Gift Aidable
Orangutan,Charitable and Political Donations: Orangutan
Cats protection,Charitable and Political Donations: Cats protection
Commission Fee,Bank Fees
Deliveroo,Entertainment
Pharmacy,Shopping
Commission Fee,Bank Fees
Friends Earth Trust,Charitable and Political Donations: Friends Earth Trus
Commission Fee,Bank Fees
Soho House (Membership),Entertainment
38 Degrees,Charitable and Political Donations: 38 Degrees
Paypal *Rex,Charitable and Political Donations: REX
JUNIPER Arundel,Food / Groceries
Meshki Uk,Shopping
Post Office,"Postage, Freight & Courier"
Southwark Parking,Motor Vehicle Expenses
Trainline,Travel - National
"Post, Card 26",Cash ATM Transactions
ALTRIA GROUP INC,Coupon Credits from JB
Federico Ismael Recayte Jara,Property Expenses - Spain
Shelter Nat camp,Charitable and Political Donations: Shelter Nat camp
American express,Bank Fees
Trainline,Travel - National
Habibashelter,Charitable and Political Donations: Habiba shelter
L3Ky22,Charitable and Political Donations: L3Ky2
Amazon,Shopping
RSPCA,Charitable and Political Donations: RSPCA
Help4Pointers,Charitable and Political Donations: Help4Pointers
asdzxx123asdm,Charitable & Political Donations: asdzxx123asdm
Post Office,"Postage, Freight & Courier"
Cuddly Inc,Charitable and Political Donations
Unknown,Unknown transactions
Digby's Patisserie,Food / Groceries
Amazon,Shopping
Dalialovesdogg,Charitable and Political Donations: Dalialovesdog
Amazon,Shopping
Vesna Dragojlov,Charitable and Political Donations: Vesna
Zlakrvopijica,Charitable and Political Donations: Zlakrvopijica
PROCTER & GAMBLE CO,Coupon Credits from JB
Lorenwoka,Charitable and Political Donations: Lorenwoka
JUNIPER Arundel,Food / Groceries
Dare Djurovic,Charitable and Political Donations: Dared
Lynnm,Charitable and Political Donations: Lynnm
Dogstar Foundation,Charitable and Political Donations: Dogstar Donat
TFL,Travel - National
Amazon Prime,Shopping
Animalweb,Charitable and Political Donations: Animalweb
COUPON CREDIT EUR,Coupon Credits from JB
Groceries,Food / Groceries
MICROSOFT CORP,Coupon Credits from JB
Hopevmsdogs,Charitable and Political Donations: Hopevmsdogs
Commission Fee,Bank Fees
Commission Fee,Bank Fees
Unknown,Telephone & Internet
Federico Ismael Recayte Jara,Property Expenses - Spain
Hopevmsdogs,Charitable and Political Donations: Hopevmsdogs
Groceries,Food / Groceries
Restaurants,Entertainment
Etsy,Shopping
PDSA,Charitable and Political Donations: Pdsa Telford
JUNIPER Arundel,Food / Groceries
COUPON CREDIT EUR,Coupon Credits from JB
Post Office,"Postage, Freight & Courier"
Janaa,Charitable and Political Donations: Janaa
Tarrant Street Clinic,Personal care/ Cosmetic
Apple,Shopping
Ivahok,Charitable and Political Donations: Ivahok
St Barnabas Hospic,Charitable and Political Donations: St Barnabas Hospic
Apple,Shopping
TFL,Travel - National
RSPCA,Charitable and Political Donations: RSPCA
E.F.S,Telephone & Internet
Bank Transfer from Julius Baer GBP 40201 to Virgin Money - ,Virgin Money - GBP - Joint R&A
Bank Transfer from Julius Baer GBP 40201 to Virgin Money - ,JB - GBP 40201 - Adela
Lintbells,Animal care / Pet expenses
ASOS,Shopping
Huel,Food / Groceries
Veterinary Services,Animal care / Pet expenses
Pheonix Detailing,Pheonix Detailing - DLA
ORACLE CORP,Coupon Credits from JB
Spotify,Subscriptions
Soho House (Membership),Entertainment
Dnvsaveanimals,Charitable and Political Donations: Dnvsaveanimals
Regina,charitable and political Donations: Regina
Maturity Fixed term loan,Lombard Loan - JB 81406 EUR
"Post, Card 26",Cash ATM Transactions
Sam Debuse,Samuel Debuse
"Post, Card 26",Cash ATM Transactions
Change.org,Charitable and Political Donations: Change.org
Gaskyns,Food / Groceries
Amnesty Int Uk,Charitable and Political Donations: Amnesty Int Uk
Co-op Group,Food / Groceries
Battersea Dogs,Charitable and Political Donations: Battersea Dogs
Co-op Group,Food / Groceries
Steve Lewis,Steve Lewis
Christie Intruder Alarms,UK Property / Farm Expenses - LFH Main Home
bank charge,Bank Fees
Hillside animal sanctuary,Charitable and Political Donations: Hillsideani
Amazon,Shopping
Butternut Box,Animal care / Pet expenses
Pharmacy,Personal care/ Cosmetic
Gaskyns,Food / Groceries
bank charge,Bank Fees
Bank Transfer from Julius Baer USD 33301 - Adela to Julius Baer GBP 40201 - Adela,JB - GBP 40201 - Adela
Bank Transfer from Julius Baer USD 33301 - Adela to Julius Baer GBP 40201 - Adela,JB - USD 2120.333.01 - Adela
Netflix.Com,Subscriptions
JUNIPER Arundel,Food / Groceries
Commission Fee,Bank Fees
The Boathouse Arundel,Entertainment
MASTERCARD INC,Coupon Credits from JB
Piscinas San Antonio SL,Property Expenses - Spain
Pallant of Arundel,Food / Groceries
Mundo Verde Ibiza,Shopping
Commission Fee,Bank Fees
Tk Maxx,Shopping
Mundo Verde Ibiza,Shopping
Veterinary Services,Animal care / Pet expenses
Commission Fee,Bank Fees
League Against,Charitable and Political Donations: League Against
Reach out for,Charitable and Political Donations: Reach
Federico Ismael Recayte Jara,Property Expenses - Spain
Uk For Unhcr,Charitable and Political Donations: UK for Unhcr
Commission Fee,Bank Fees
RSPB,Charitable and Political Donations: RSPB
Blue Hair & Beauty Ltd,Personal care/ Cosmetic
Federico Ismael Recayte Jara,Property Expenses - Spain
Bear Petworth,Shopping
Commission Fee,Bank Fees
Four paws UK,Charitable and Political Donations: Four paws UK
Tk Maxx,Shopping
FUENTE JARA S.L.,Property Expenses - Spain
"Post, Card 26",Cash ATM Transactions
"Post, Card 26",Cash ATM Transactions
Steve Lewis,Steve Lewis
Janaa,Charitable and Political Donations: Janaa
