Date,Money in,Money out,Description
28/12/2024,,16.47,"BT*Î–ÎŸÎÎ™Î‘.COM LOS ANGELES
Exchange Rate 1.2507 + Nonsterling Transaction Fee .48"
29/12/2024,,15.99,APPLE.COM/BILL HOLLYHILL
29/12/2024,,54.54,"STATION ROAD CONNECT STOW-ON-WOLD
BP Station Road STOW-ON-THE-WOLD"
31/12/2024,,15.99,APPLE.COM/BILL HOLLYHILL
03/01/2025,,25,"BRITISH AIRWAYS GB DIRE WEST DRAYTON
ROUTING: FROM: LONDON HEATHROW AP
TO: SPLIT CARRIER: BA CLASS: M
TICKET NUMBER: 1254241569931 PASSENGER NAME: SHUTES/ELIZABETH CLAIRE"
03/01/2025,,20,"BRITISH AIRWAYS GB DIRE WEST DRAYTON
ROUTING: FROM: SPLIT
TO: LONDON HEATHROW AP CARRIER: BA CLASS: H
TICKET NUMBER: 1254241569932 PASSENGER NAME: SHUTES/THOMAS MR"
03/01/2025,,20,"BRITISH AIRWAYS GB DIRE WEST DRAYTON
ROUTING: FROM: SPLIT
TO: LONDON HEATHROW AP CARRIER: BA CLASS: H
TICKET NUMBER: 1254241569933 PASSENGER NAME: SHUTES/ELIZABETH CLAIRE"
03/01/2025,,20,"BRITISH AIRWAYS GB DIRE WEST DRAYTON
ROUTING: FROM: SPLIT
TO: LONDON HEATHROW AP CARRIER: BA CLASS: H
TICKET NUMBER: 1254241569934 PASSENGER NAME: SHUTES/TARA MISS"
03/01/2025,,25,"BRITISH AIRWAYS GB DIRE WEST DRAYTON
ROUTING: FROM: LONDON HEATHROW AP
TO: SPLIT CARRIER: BA CLASS: M
TICKET NUMBER: 1254241569929 PASSENGER NAME: SHUTES/TARA MISS"
03/01/2025,,25,"BRITISH AIRWAYS GB DIRE WEST DRAYTON
ROUTING: FROM: LONDON HEATHROW AP
TO: SPLIT CARRIER: BA CLASS: M
TICKET NUMBER: 1254241569930 PASSENGER NAME: SHUTES/THOMAS MR"
03/01/2025,,561.62,"BRITISH AIRWAYS GB DIRE WEST DRAYTON
ROUTING: FROM: LONDON HEATHROW AP
TO: SPLIT CARRIER: BA CLASS: M
TO: LONDON HEATHROW AP CARRIER: BA CLASS: H
TICKET NUMBER: 1252199693394 PASSENGER NAME: SHUTES/ELIZABETH CLAIRE"
03/01/2025,,561.62,"BRITISH AIRWAYS GB DIRE WEST DRAYTON
ROUTING: FROM: LONDON HEATHROW AP
TO: SPLIT CARRIER: BA CLASS: M
TO: LONDON HEATHROW AP CARRIER: BA CLASS: H
TICKET NUMBER: 1252199693395 PASSENGER NAME: SHUTES/TARA MISS"
03/01/2025,,561.62,"BRITISH AIRWAYS GB DIRE WEST DRAYTON
ROUTING: FROM: LONDON HEATHROW AP
TO: SPLIT CARRIER: BA CLASS: M
TO: LONDON HEATHROW AP CARRIER: BA CLASS: H
TICKET NUMBER: 1252199693396 PASSENGER NAME: SHUTES/THOMAS MR"
04/01/2025,9.99,,Amazon SWP
04/01/2025,,4.49,APPLE.COM/BILL HOLLYHILL
04/01/2025,,9.99,Î‘ÎœÎ–ÎÎœÎšTPLACE LONDON
06/01/2025,,81.85,"WOODSTOCK FILLING STATI OXFORD
BP A40 Woodstock Road OXFORD"
08/01/2025,2.25,,Amazon SWP
08/01/2025,,2.25,AMZNMKTPLACE LONDON
08/01/2025,,8.99,AMZNMKTPLACE LONDON
08/01/2025,8.99,,Amazon SWP
09/01/2025,,90.85,Caldesi in Marylebone London
09/01/2025,,30.74,AMZNMKTPLACE*N62SM84W5 AMAZON.CO.UK
09/01/2025,,159.39,FISCHERS RESTAURANT LONDON
10/01/2025,,22.99,AMZNMKTPLACE*UHO2Y1AY5 AMAZON.CO.UK
10/01/2025,,8.99,APPLE.COM/BILL HOLLYHILL
